001	57	2026-07-07	FADRA: Frequency-Aware Diffusion with Residual Adaptation for Video Face Restoration	arXiv (Cornell University)	https://arxiv.org/abs/2607.06389
002	26	2026-07-24	ID-V2V: Identity-Preserving Video Restylization	arXiv (Cornell University)	https://arxiv.org/abs/2607.22830
003	22	2026-07-31	Uncertainty-aware multimodal affective data fusion for personalized mental health dialogue	Pattern Recognition	https://doi.org/10.1016/j.patcog.2026.114574
004	22	2026-07-27	ViDS: Video Diffusion Shader using 3D Face Tracking	arXiv (Cornell University)	https://arxiv.org/abs/2607.24124
005	20	2026-06-10	AnchorEdit: Maintaining Temporal Consistency in Multi-turn Image Editing via Causal Memory	arXiv (Cornell University)	https://arxiv.org/abs/2606.11751
006	18	2026-07-22	Personalized Recommendation Tool Learning via Autonomous Language Agents	arXiv (Cornell University)	https://arxiv.org/abs/2607.19739
007	18	2026-07-27	ARTIFICIAL INTELLIGENCE FOR PERSONALIZED POST-STROKE REHABILITATION: SOCIAL, ETHICAL, AND CLINICAL IMPLICATIONS	International Journal of Innovative Technologies in Social Science	https://doi.org/10.31435/ijitss.3(51).2026.5948
008	18	2026-07-30	Personalized bioactive 3D printed scaffolds for bone and cartilage repair: Engineering strategies toward clinical precision regeneration	Next Materials	https://doi.org/10.1016/j.nxmate.2026.102968
009	17	2026-07-23	Adaptive Identity Anchoring: Closed-Loop Keyframe Placement for Synthetic Paired Supervision in Video Face Swapping	arXiv (Cornell University)	https://arxiv.org/abs/2607.21434
010	16	2026-07-30	Artificial intelligence dependency in college students: a critical narrative review	Frontiers in Psychology	https://doi.org/10.3389/fpsyg.2026.1808268
011	16	2026-07-16	CEE-NeRF: dynamic neural radiance fields with contrastive enhanced expression representation for 4D face reconstruction	ENLIGHTEN (Jurnal Bimbingan dan Konseling Islam)	https://eprints.gla.ac.uk/view/author/83329.html>,
012	16	2026-07-02	Multi-Resolution Flow Matching: Training-Free Diffusion Acceleration via Staged Sampling	arXiv (Cornell University)	https://arxiv.org/abs/2607.01642
013	16	2026-06-11	Avatar V: Scaling Video-Reference Avatar Video Generation	arXiv (Cornell University)	https://arxiv.org/abs/2606.13872
014	16	2026-07-29	Application of Image Enhancement Techniques in Facial Recognition System	International Journal of Computer Information Systems and Industrial Management Applications	https://doi.org/10.70917/ijcisim-2026-3984
015	15	2026-07-31	Human-Centered AI in Sleep Health Management: Scoping Review of Stakeholder Perspectives and Co-Design Practices	Journal of Medical Internet Research	https://doi.org/10.2196/93779
016	15	2026-08-04	Digital health solutions for chronic disease physical activity management: wearable devices, artificial intelligence, and public health implementation	Frontiers in Public Health	https://doi.org/10.3389/fpubh.2026.1888001
017	15	2026-07-26	Restoration Flow Matching-Based Channel Refinement and Equalization Correction for MIMO Semantic Communications	arXiv (Cornell University)	https://arxiv.org/abs/2607.23615
018	15	2026-07-10	YeTI: You Only Need Two Noisy Images for Real-World sRGB Noise Generation	arXiv (Cornell University)	https://arxiv.org/abs/2607.09193
019	14	2026-07-29	Trends in neuroprosthetic technologies to restore sensations	Biomedical Engineering Letters	https://doi.org/10.1007/s13534-026-00603-x
020	14	2026-07-23	Epigenetic regulation of the membrane transportome: implications for cancer progression	Progress in Biophysics and Molecular Biology	https://doi.org/10.1016/j.pbiomolbio.2026.07.009
021	14	2026-07-31	Functional Liposomal Nanocarriers for the Treatment of Antimicrobial-Resistant and Biofilm-Associated Ocular Infections	Macromol—A Journal of Macromolecular Research	https://doi.org/10.3390/macromol6030056
022	14	2026-07-31	Image Steganography: A Comprehensive Systematic Review Methods, Advances and Future Directions	IJARCCE	https://doi.org/10.17148/ijarcce.2026.15750
023	13	2026-07-30	Functional Foods and Micro- and Nanoplastics: Advances in Precision Nutritional Medicine for Oral–Gut–Brain Axis Health	Antioxidants	https://doi.org/10.3390/antiox15080951
024	13	2026-07-30	Advances in anti-aging Drug research leveraging multi-omics and artificial intelligence	Frontiers in Aging	https://doi.org/10.3389/fragi.2026.1868486
025	13	2026-07-30	Mathematical Modeling of Heavy Metal Transport in Soil	None	https://doi.org/10.1201/9781003774082
026	13	2026-08-02	Collaborative Control in Diffusion Models for Precise Image Generation: A Survey	Mathematics	https://doi.org/10.3390/math14152737
027	13	2026-08-01	RealX3D: A Physically-Degraded 3D Benchmark for Multi-view Visual Restoration and Reconstruction	International Journal of Computer Vision	https://doi.org/10.1007/s11263-026-02963-4
028	13	2026-07-28	Mapping and comparing climate equity policy practices using RAG LLM-based semantic analysis and recommendation systems	Computational Urban Science	https://doi.org/10.1007/s43762-026-00279-0
